Module_id,Module_name,KO_count,KO_set
M00364,"C10-C20 isoprenoid biosynthesis, bacteria",4,"K00795,K01823,K13787,K13789"
M00365,"C10-C20 isoprenoid biosynthesis, archaea",2,"K01823,K13787"
M00366,"C10-C20 isoprenoid biosynthesis, plants",4,"K00787,K01823,K13789,K14066"
M00367,"C10-C20 isoprenoid biosynthesis, non-plant eukaryotes",3,"K00787,K00804,K01823"
M00368,"Ethylene biosynthesis, methionine => ethylene",4,"K00789,K01762,K05933,K20772"
M00369,"Cyanogenic glycoside biosynthesis, tyrosine => dhurrin",3,"K13027,K13029,K13030"
M00370,"Glucosinolate biosynthesis, tryptophan => glucobrassicin",6,"K11812,K11813,K11818,K11819,K11820,K11821"
M00371,"Castasterone biosynthesis, campesterol => castasterone",9,"K09587,K09588,K09590,K09591,K12637,K12638,K12639,K12640,K20623"
M00372,"Abscisic acid biosynthesis, beta-carotene => abscisic acid",7,"K09838,K09840,K09841,K09842,K14594,K15746,K15747"
M00373,Ethylmalonyl pathway,13,"K00023,K00626,K01847,K01965,K01966,K05606,K08691,K14446,K14447,K14448,K14449,K14451,K17865"
M00374,Dicarboxylate-hydroxybutyrate cycle,24,"K00024,K00169,K00170,K00171,K00172,K00239,K00240,K00241,K00626,K01007,K01595,K01676,K01677,K01678,K01902,K01903,K14465,K14467,K14534,K15016,K15017,K15038,K18860,K18861"
M00375,Hydroxypropionate-hydroxybutylate cycle,18,"K00626,K01848,K01849,K01964,K05606,K14465,K14466,K14534,K15016,K15017,K15018,K15019,K15020,K15036,K15037,K15038,K15039,K18861"
M00376,3-Hydroxypropionate bi-cycle,21,"K00239,K00240,K00241,K01679,K01847,K01848,K01849,K01961,K01962,K01963,K02160,K05606,K08691,K09709,K14449,K14468,K14469,K14470,K14471,K14472,K15052"
M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),10,"K00194,K00197,K00198,K00297,K01491,K01938,K05299,K14138,K15022,K15023"
M00378,F420 biosynthesis,6,"K11212,K11779,K11780,K11781,K12234,K14941"
M00415,Fatty acid elongation in endoplasmic reticulum,13,"K10203,K10205,K10244,K10245,K10246,K10247,K10248,K10249,K10250,K10251,K10258,K10703,K15397"
M00416,Cytochrome aa3-600 menaquinol oxidase,4,"K02826,K02827,K02828,K02829"
M00417,Cytochrome o ubiquinol oxidase,4,"K02297,K02298,K02299,K02300"
M00418,"Toluene degradation, anaerobic, toluene => benzoyl-CoA",9,"K07540,K07543,K07544,K07545,K07546,K07547,K07548,K07549,K07550"
M00419,"Cymene degradation, p-cymene => p-cumate",4,"K10616,K10617,K10618,K18293"
