,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
K15039: ydfG | Carbon Fixation: 3-Hydroxypropionate bi-cycle,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
K15864: nirS | Nitrogen: Denitrification (reduction pathway),6,4,0,0,0,2,2,2,7,0,0,2,3,0,1,2,0,0,0,0
K15876: nrfH | Nitrogen: Dissimilatory nitrate reduction (reduction pathway),4,3,0,3,0,3,0,1,5,1,0,3,4,1,7,6,0,0,0,0
K17067: mdo | Methanol oxidation: Methylotrophs,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
K17222: SOXA | Sulfur metabolism: Thiosulfate oxidation by SOX (sulfur-oxidation) system,9,2,0,5,0,0,1,1,1,0,0,0,0,0,5,2,0,0,0,0
K17223: soxX | Sulfur metabolism: Thiosulfate oxidation by SOX (sulfur-oxidation) system,5,0,0,1,1,0,1,0,1,1,0,1,1,0,4,0,0,0,0,0
K17224: soxB | Sulfur metabolism: Thiosulfate oxidation by SOX (sulfur-oxidation) system,13,4,2,5,1,2,4,1,5,1,0,3,1,0,3,4,0,1,1,0
K17225: soxC | Sulfur metabolism: Thiosulfate oxidation by SOX (sulfur-oxidation) system,17,8,0,7,5,1,1,0,5,0,1,2,2,1,3,2,0,4,2,1
K17226: soxY | Sulfur metabolism: Thiosulfate oxidation by SOX (sulfur-oxidation) system,6,2,0,1,1,2,0,2,4,2,0,1,3,0,5,1,0,0,0,0
K17227: soxZ | Sulfur metabolism: Thiosulfate oxidation by SOX (sulfur-oxidation) system,5,2,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0
K17229: fccB | Sulfur metabolism: Sulfite oxydation,7,1,0,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0
K18289: ict-P | Carbon Fixation: 3-Hydroxypropionate bi-cycle,16,11,0,3,0,1,1,1,6,0,0,2,1,1,4,4,0,3,3,3
K18603: pccB | Carbon Fixation: 3-Hydroxypropionate bi-cycle,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K18604: pccC | Carbon Fixation: 3-Hydroxypropionate bi-cycle,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K19745: acuI | Carbon Fixation: 3-Hydroxypropionate bi-cycle,10,9,0,7,1,3,4,2,9,1,0,5,5,0,11,3,0,2,0,2
K22015: fdhF | Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),2,1,0,0,1,2,0,0,1,1,0,0,1,1,0,0,0,1,1,0
K22480: hdrA1 | Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),1,0,2,6,2,1,2,1,0,2,2,3,2,11,1,1,0,0,4,3
K22481: hdrB1 | Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0
K22482: hdrC1 | Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),5,1,0,2,3,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
K22516: fdhA | Methanogenesis (CO2),6,20,20,33,36,16,33,18,19,25,16,41,30,30,28,24,2,26,20,20
K22622: soxD | Sulfur metabolism: Thiosulfate oxidation by SOX (sulfur-oxidation) system,15,5,0,6,1,0,1,0,2,0,0,0,6,0,2,2,0,2,2,1
